127.0.0.1 - - [01/Nov/2022:14:01:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:24:53 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:24:53 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:24:55 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:24:55 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:25:08 +0530] "GET /JAVA_jsp/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:25:08 +0530] "GET /JAVA_jsp/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:27:40 +0530] "GET /JAVA_jsp/error.html HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:27:40 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:51 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:52 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:52 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:52 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:52 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:52 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:58 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:30:58 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:31:16 +0530] "GET /JAVA_jsp/admin.html HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:31:16 +0530] "GET /JAVA_jsp/admin.css HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:31:27 +0530] "GET /JAVA_jsp/student%20log%20in.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:31:27 +0530] "GET /JAVA_jsp/student%20login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:31:39 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:31:39 +0530] "GET /JAVA_jsp/student.css HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:31:42 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 304 -
